"Judul","Deskripsi"
"Halaman Orang Kunci dan Perlu Ditanyakan","Menampilkan cabang yang produksinya bertumpu pada satu MO dan MO yang produksinya turun ke nol/minus, lengkap dengan kalimat penegas bahwa ini bahan percakapan, bukan penilaian kinerja."
"Halaman Kinerja","Menampilkan peringkat unit di bawah cakupan aktif (NWP, capaian berjalan, laju vs tahun lalu, profit), perbandingan tahun berjalan vs tahun lalu per grup channel, dan NWP per sub-channel."
"Halaman AI Insight, Ritme Kerja, dan Detail & Latar","Menampilkan kartu temuan AI Insight, grafik indeks effort harian 30 hari beserta total aktivitas, serta halaman dokumentasi sumber data, koreksi periode, asumsi, dan kepatuhan."
"Ekspor CSV dan pencarian header","Menambahkan ekspor daftar kerja dan posisi unit ke CSV (pemisah titik koma untuk Excel lokal Indonesia) serta pencarian cabang/MO di header dengan pintasan ⌘K."
"Tampilan layar penuh dan header menempel","Mengubah dashboard agar mengisi seluruh lebar dan tinggi layar, dan membuat header tetap di atas saat halaman di-scroll."
"Navigasi per halaman","Mengganti navigasi scroll satu halaman panjang menjadi satu halaman per menu dengan alamat hash (#/kinerja, dll.), sehingga tombol Back browser dan bookmark berfungsi."
"Halaman login dan menu profil (mode peragaan)","Membuat halaman login bergaya referensi dengan akun peragaan, tombol logout di sidebar, dan menu profil di header. Tahap ini kemudian digantikan oleh akses lewat tautan terenkripsi."
"Persona peragaan Cabang Samarinda dan Novita Lubis","Membatasi pilihan Pimpinan Cabang ke Cabang Samarinda dan Marketing Officer ke Novita Lubis untuk kebutuhan peragaan, dengan angka tetap berupa data contoh."
"Akses portal lewat tautan terenkripsi","Membuat layanan API akses (Node, AES-256-GCM, kunci hanya di server) untuk men-decrypt token tautan menjadi peran dan unit, skrip pembuat tautan per portal, serta pembatasan hierarki data Direksi → Pemimpin Wilayah → Pimpinan Cabang → Marketing Officer."
"Perbaikan akses dev server","Mengunci dev server ke 127.0.0.1:5175 dengan port tetap, agar URL dapat dibuka lewat localhost maupun 127.0.0.1 dan tautan akses tidak berubah."
"Filter unit per peran","Menambahkan filter bertingkat Pemimpin Wilayah → Pimpinan Cabang → Marketing Officer sesuai hierarki portal, dengan tombol Atur ulang dan sinkronisasi dengan breadcrumb."
"Filter periode (tanggal)","Menambahkan filter periode per bulan (pilihan cepat dan rentang Dari–Sampai) yang menghitung ulang produksi, capaian, laju, peringkat, dan insight. Proyeksi tetap berangkat dari realisasi Januari–Juli."
"Integrasi API matrix/kanwils","Menyambungkan filter Pemimpin Wilayah ke API GET matrix/kanwils lewat proxy dev server (backend tidak mengirim header CORS), dengan cadangan data lokal, batas waktu 8 detik, dan respons 502 yang jelas saat backend tidak terjangkau."
"Integrasi API matrix/branches","Menyambungkan filter Pimpinan Cabang ke API cabang per wilayah, kemudian menyesuaikan dengan perubahan kontrak backend menjadi POST body {""kanwil"": value} dengan respons {value, label}."
"Integrasi API matrix/marketings","Menyambungkan filter Marketing Officer ke API POST matrix/marketings dengan body {""branch"": value}. Nama kembar dibedakan dengan nomor urut, dan value (yang sebagian berisi email pribadi) tidak ditampilkan."
"Persiapan parameter filter untuk API data","Menyiapkan objek parameter (kanwil, cabang, MO, channel, periode) yang diperbarui setiap kali filter berubah, sebagai titik sambung permintaan data ke backend berikutnya."
"Dropdown berpencarian","Mengganti dropdown filter dengan komponen berpencarian: kolom cari, daftar ber-scroll dengan tinggi terbatas, dukungan keyboard, dan pencocokan per awal kata."
"Mode akses URL biasa","Menonaktifkan sementara akses tautan terenkripsi lewat pengaturan VITE_AKSES_TAUTAN, sehingga URL dibuka langsung sebagai portal Direksi tanpa menghapus alur tautan terenkripsi."
"Penyeragaman menu sidebar","Menyamakan menu sidebar untuk semua portal dan semua tingkat filter, menambahkan Ritme Kerja ke menu utama, serta memberi pesan penjelasan pada halaman yang tidak berlaku di tingkat satu MO."
"DataTable untuk semua tabel","Membuat komponen DataTable yang dipakai di semua tabel (Prioritas, Kinerja, Orang Kunci, Perlu Ditanyakan, Sumber Data, Renewal) dengan pencarian, filter per kolom, urut per kolom, dan paging 10/25/50/100 baris."
"Menu Renewal","Menambahkan menu Renewal berisi datatable dengan kolom status, nasabah (ID tersamar), sumber bisnis, nomor polis, periode awal, periode akhir, cabang, bisnis, dan next follow up. Data masih simulasi karena sumber renewal belum tersedia."
"Filter channel pilihan ganda","Mengubah filter channel menjadi pilihan ganda: Semua Direct/Semua Captive menyalakan seluruh sub-channel grupnya, sub-channel dapat dipilih satu per satu, dan data mengikuti gabungan pilihan."
"Pembedaan warna chip kategori dan sub-channel","Membedakan tampilan chip kategori aktif (hijau pekat) dengan sub-channel terpilih (hijau muda, garis tepi, dan tanda centang) di tema terang maupun gelap."
"Dokumentasi proyek","Menyusun README berisi cara menjalankan, penjelasan data contoh, akses portal, daftar endpoint API backend, dan struktur folder."
